companyShortName,companyName,livePriceURL,bseId,nseId,isin,sector,nsePrice,monthName1,monthName2,monthName3,monthName4,monthName5,pl1,pl2,pl3,pl4,pl5,pl_coef,eps1,eps2,eps3,eps4,eps5,eps_coef
Aptech,Aptech,https://www.moneycontrol.com/india/stockpricequote/computers-software-training/aptech/A11,532475,APTECHT,INE266F01018,Computers - Software - Training,174.80,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,19.06,9.08,10.19,16.48,23.39,-0.069,4.78,2.28,2.55,4.13,5.27,-0.054
Dabur India,Dabur India,https://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,500096,DABUR,INE016A01026,Personal Care,409.10,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,1072.05,998.33,937.26,762.58,672.1,0.154,6.09,5.67,5.33,4.35,3.86,0.150
Biocon,Biocon,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,532523,BIOCON,INE376G01013,Pharmaceuticals,624.35,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,238.5,519.3,363.8,361.22,329.85,-0.007,4.04,26.45,18.78,18.06,16.81,-0.102
TCS,Tata Consultancy Services,https://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,532540,TCS,INE467B01029,Computers - Software,1968.25,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,25241.0,23653.0,23075.0,19256.96,18474.92,0.097,131.15,120.04,117.11,98.31,94.15,0.102
Aksh Optifibre,Aksh Optifibre,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/akshoptifibre/AO03,532351,AKSHOPTFBR,INE523B01011,Cables - Telephone,25.45,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,22.81,15.09,33.52,32.11,26.02,-0.090,1.4,0.93,2.14,2.18,1.75,-0.111
Alankit,Alankit,https://www.moneycontrol.com/india/stockpricequote/finance-general/alankit/EGJ,531082,ALANKIT,INE914E01040,Finance - General,19.30,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,21.35,13.26,3.52,0.37,0.14,39.507,1.49,0.93,0.99,0.61,0.28,0.979
ABB India,ABB India,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB,500002,ABB,INE117A01022,Infrastructure - General,1408.70,Dec '17,Dec '16,Dec '15,Dec '14,Dec '13,419.95,376.25,299.88,228.51,179.31,0.351,19.82,17.76,14.15,10.78,8.46,0.351
Adani Ports,Adani Ports and Special Economic Zone,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,532921,ADANIPORTS,INE742F01042,Infrastructure - General,365.65,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,2408.1,3100.61,2964.5,2183.14,2016.17,0.084,11.63,14.97,14.31,10.55,9.8,0.082
Ashok Leyland,Ashok Leyland,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,500477,ASHOKLEY,INE208A01029,Auto - LCVs & HCVs,112.35,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,1562.59,1223.08,389.6,334.81,29.38,13.460,5.34,4.24,1.37,1.2,0.11,12.273
BPCL,Bharat Petroleum Corporation,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,500547,BPCL,INE029A01011,Refineries,324.40,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,7919.34,8039.3,7056.36,5084.51,4060.88,0.263,40.26,61.31,53.81,70.32,56.16,-0.073
Ceat,Ceat,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,500878,CEATLTD,INE482A01020,Tyres,1264.15,Mar '18,Mar '17,Mar '16,Mar '15,Mar '14,278.72,362.73,452.52,298.97,253.78,0.045,68.9,89.67,111.87,79.76,71.65,0.006
