id	companyCode	capital	smaDays	trendStrength
1	ABB	10000	10	5
2	ABB	10000	20	5
3	ABB	10000	30	5
4	ABB	10000	40	5
5	ABB	10000	50	5
6	ABB	10000	60	5
7	ABB	10000	70	5
8	ABB	10000	80	5
9	ABB	10000	90	5
10	ABB	10000	100	5
11	ABB	10000	110	5
12	ABB	10000	120	5
13	ABB	10000	130	5
14	ABB	10000	140	5
15	ABB	10000	150	5
16	ABB	10000	10	6
17	ABB	10000	20	6
18	ABB	10000	30	6
19	ABB	10000	40	6
20	ABB	10000	50	6
21	ABB	10000	60	6
22	ABB	10000	70	6
23	ABB	10000	80	6
24	ABB	10000	90	6
25	ABB	10000	100	6
26	ABB	10000	110	6
27	ABB	10000	120	6
28	ABB	10000	130	6
29	ABB	10000	140	6
30	ABB	10000	150	6
31	ABB	10000	10	7
32	ABB	10000	20	7
33	ABB	10000	30	7
34	ABB	10000	40	7
35	ABB	10000	50	7
36	ABB	10000	60	7
37	ABB	10000	70	7
38	ABB	10000	80	7
39	ABB	10000	90	7
40	ABB	10000	100	7
41	ABB	10000	110	7
42	ABB	10000	120	7
43	ABB	10000	130	7
44	ABB	10000	140	7
45	ABB	10000	150	7
46	ABB	10000	10	8
47	ABB	10000	20	8
48	ABB	10000	30	8
49	ABB	10000	40	8
50	ABB	10000	50	8
51	ABB	10000	60	8
52	ABB	10000	70	8
53	ABB	10000	80	8
54	ABB	10000	90	8
55	ABB	10000	100	8
56	ABB	10000	110	8
57	ABB	10000	120	8
58	ABB	10000	130	8
59	ABB	10000	140	8
60	ABB	10000	150	8
61	ABB	10000	10	9
62	ABB	10000	20	9
63	ABB	10000	30	9
64	ABB	10000	40	9
65	ABB	10000	50	9
66	ABB	10000	60	9
67	ABB	10000	70	9
68	ABB	10000	80	9
69	ABB	10000	90	9
70	ABB	10000	100	9
71	ABB	10000	110	9
72	ABB	10000	120	9
73	ABB	10000	130	9
74	ABB	10000	140	9
75	ABB	10000	150	9
76	ABB	10000	10	10
77	ABB	10000	20	10
78	ABB	10000	30	10
79	ABB	10000	40	10
80	ABB	10000	50	10
81	ABB	10000	60	10
82	ABB	10000	70	10
83	ABB	10000	80	10
84	ABB	10000	90	10
85	ABB	10000	100	10
86	ABB	10000	110	10
87	ABB	10000	120	10
88	ABB	10000	130	10
89	ABB	10000	140	10
90	ABB	10000	150	10
91	ABB	10000	10	11
92	ABB	10000	20	11
93	ABB	10000	30	11
94	ABB	10000	40	11
95	ABB	10000	50	11
96	ABB	10000	60	11
97	ABB	10000	70	11
98	ABB	10000	80	11
99	ABB	10000	90	11
100	ABB	10000	100	11
101	ABB	10000	110	11
102	ABB	10000	120	11
103	ABB	10000	130	11
104	ABB	10000	140	11
105	ABB	10000	150	11
106	ABB	10000	10	12
107	ABB	10000	20	12
108	ABB	10000	30	12
109	ABB	10000	40	12
110	ABB	10000	50	12
111	ABB	10000	60	12
112	ABB	10000	70	12
113	ABB	10000	80	12
114	ABB	10000	90	12
115	ABB	10000	100	12
116	ABB	10000	110	12
117	ABB	10000	120	12
118	ABB	10000	130	12
119	ABB	10000	140	12
120	ABB	10000	150	12
121	ABB	10000	10	13
122	ABB	10000	20	13
123	ABB	10000	30	13
124	ABB	10000	40	13
125	ABB	10000	50	13
126	ABB	10000	60	13
127	ABB	10000	70	13
128	ABB	10000	80	13
129	ABB	10000	90	13
130	ABB	10000	100	13
131	ABB	10000	110	13
132	ABB	10000	120	13
133	ABB	10000	130	13
134	ABB	10000	140	13
135	ABB	10000	150	13
136	ABB	10000	10	14
137	ABB	10000	20	14
138	ABB	10000	30	14
139	ABB	10000	40	14
140	ABB	10000	50	14
141	ABB	10000	60	14
142	ABB	10000	70	14
143	ABB	10000	80	14
144	ABB	10000	90	14
145	ABB	10000	100	14
146	ABB	10000	110	14
147	ABB	10000	120	14
148	ABB	10000	130	14
149	ABB	10000	140	14
150	ABB	10000	150	14
151	ABB	10000	10	15
152	ABB	10000	20	15
153	ABB	10000	30	15
154	ABB	10000	40	15
155	ABB	10000	50	15
156	ABB	10000	60	15
157	ABB	10000	70	15
158	ABB	10000	80	15
159	ABB	10000	90	15
160	ABB	10000	100	15
161	ABB	10000	110	15
162	ABB	10000	120	15
163	ABB	10000	130	15
164	ABB	10000	140	15
165	ABB	10000	150	15
166	ABB	10000	10	16
167	ABB	10000	20	16
168	ABB	10000	30	16
169	ABB	10000	40	16
170	ABB	10000	50	16
171	ABB	10000	60	16
172	ABB	10000	70	16
173	ABB	10000	80	16
174	ABB	10000	90	16
175	ABB	10000	100	16
176	ABB	10000	110	16
177	ABB	10000	120	16
178	ABB	10000	130	16
179	ABB	10000	140	16
180	ABB	10000	150	16
181	ABB	10000	10	17
182	ABB	10000	20	17
183	ABB	10000	30	17
184	ABB	10000	40	17
185	ABB	10000	50	17
186	ABB	10000	60	17
187	ABB	10000	70	17
188	ABB	10000	80	17
189	ABB	10000	90	17
190	ABB	10000	100	17
191	ABB	10000	110	17
192	ABB	10000	120	17
193	ABB	10000	130	17
194	ABB	10000	140	17
195	ABB	10000	150	17
196	ABB	10000	10	18
197	ABB	10000	20	18
198	ABB	10000	30	18
199	ABB	10000	40	18
200	ABB	10000	50	18
201	ABB	10000	60	18
202	ABB	10000	70	18
203	ABB	10000	80	18
204	ABB	10000	90	18
205	ABB	10000	100	18
206	ABB	10000	110	18
207	ABB	10000	120	18
208	ABB	10000	130	18
209	ABB	10000	140	18
