type,companyName,targetPrice,active
Sell,Tata Motors,205,Y
Sell,Ashok Leyland,125,Y
Sell,Indiabulls Hsg,925,Y
Sell,ABB India,1350,Y
Sell,Adani Ports,390,Y
Sell,Biocon,650,Y
Sell,BPCL,380,Y
Sell,Ceat,1350,Y
Sell,Dabur India,450,Y
Sell,Garware Wall,1230,Y
Sell,Glenmark,710,Y
Sell,Godrej Consumer,860,Y
Sell,HDFC,2010,Y
Sell,HDFC Bank,2155,Y
Sell,Himatsingka Sei,220,Y
Sell,HPCL,260,Y
Sell,Indiabulls Hsg,900,Y
Sell,IOC,145,Y
Sell,KRBL,300,Y
Sell,L&T Finance,160,Y
Sell,Pidilite Ind,1200,Y
Sell,Reliance,1150,Y
Sell,Sun TV Network,617,Y
Sell,TV TodayNetwork,380,Y
Sell,TVS Motor,585,Y
Sell,Voltas,585,Y
Sell,Yes Bank,190,Y
Sell,Zee Learn,36,Y
Sell,NOCIL,220,Y
Sell,Rane Holdings,1450,Y
